crime_count,inc_date,offense_category
1,2017-09-01T00:00:00.000,ASSAULT
4,2017-09-01T00:00:00.000,LARCENY
1,2017-09-01T00:00:00.000,STOLEN VEHICLE
1,2017-09-02T00:00:00.000,ASSAULT
3,2017-09-02T00:00:00.000,LARCENY
3,2017-09-03T00:00:00.000,LARCENY
1,2017-09-03T00:00:00.000,STOLEN VEHICLE
5,2017-09-04T00:00:00.000,LARCENY
1,2017-09-04T00:00:00.000,STOLEN VEHICLE
1,2017-09-05T00:00:00.000,ASSAULT
3,2017-09-05T00:00:00.000,LARCENY
1,2017-09-05T00:00:00.000,STOLEN VEHICLE
3,2017-09-06T00:00:00.000,LARCENY
2,2017-09-06T00:00:00.000,STOLEN VEHICLE
1,2017-09-07T00:00:00.000,LARCENY
1,2017-09-07T00:00:00.000,ROBBERY
3,2017-09-08T00:00:00.000,LARCENY
4,2017-09-09T00:00:00.000,ASSAULT
6,2017-09-09T00:00:00.000,LARCENY
2,2017-09-10T00:00:00.000,ASSAULT
1,2017-09-10T00:00:00.000,LARCENY
1,2017-09-10T00:00:00.000,STOLEN VEHICLE
5,2017-09-11T00:00:00.000,LARCENY
3,2017-09-12T00:00:00.000,ASSAULT
2,2017-09-12T00:00:00.000,LARCENY
2,2017-09-13T00:00:00.000,ASSAULT
1,2017-09-13T00:00:00.000,LARCENY
1,2017-09-14T00:00:00.000,ASSAULT
1,2017-09-15T00:00:00.000,ASSAULT
3,2017-09-15T00:00:00.000,LARCENY
1,2017-09-15T00:00:00.000,ROBBERY
1,2017-09-15T00:00:00.000,STOLEN VEHICLE
1,2017-09-16T00:00:00.000,ASSAULT
2,2017-09-16T00:00:00.000,LARCENY
1,2017-09-16T00:00:00.000,STOLEN VEHICLE
2,2017-09-17T00:00:00.000,LARCENY
1,2017-09-17T00:00:00.000,ROBBERY
6,2017-09-18T00:00:00.000,LARCENY
1,2017-09-19T00:00:00.000,ASSAULT
3,2017-09-19T00:00:00.000,LARCENY
2,2017-09-20T00:00:00.000,LARCENY
1,2017-09-21T00:00:00.000,LARCENY
1,2017-09-21T00:00:00.000,ROBBERY
7,2017-09-22T00:00:00.000,LARCENY
