Date,Assault,Larceny,Stolen Vehicle,Robbery,Total_Crimes,Has_Game,Game_Outcome
2017-09-01,1,4,1,0,6,False,
2017-09-02,1,3,0,0,4,False,
2017-09-03,0,3,1,0,4,False,
2017-09-04,0,5,1,0,6,False,
2017-09-05,1,3,1,0,5,False,
2017-09-06,0,3,2,0,5,False,
2017-09-07,0,1,0,1,2,False,
2017-09-08,0,3,0,0,3,False,
2017-09-09,4,6,0,0,10,False,
2017-09-10,2,1,1,0,4,True,1
2017-09-11,0,5,0,0,5,False,
2017-09-12,3,2,0,0,5,False,
2017-09-13,2,1,0,0,3,False,
2017-09-14,1,0,0,0,1,False,
2017-09-15,1,3,1,1,6,False,
2017-09-16,1,2,1,0,4,False,
2017-09-17,0,2,0,1,3,False,
2017-09-18,0,6,0,0,6,False,
2017-09-19,1,3,0,0,4,False,
2017-09-20,0,2,0,0,2,False,
2017-09-21,0,1,0,1,2,False,
2017-09-22,0,7,2,0,9,False,
2017-09-23,1,4,0,0,5,False,
2017-09-24,2,3,0,0,5,True,0
2017-09-25,0,4,0,1,5,False,
2017-09-26,2,1,1,2,6,False,
2017-09-27,1,4,0,0,5,False,
2017-09-28,1,1,0,0,2,False,
2017-09-29,1,1,0,2,4,False,
2017-09-30,1,3,0,0,4,False,
2017-10-01,2,2,1,0,5,False,
2017-10-02,1,1,0,0,2,False,
2017-10-03,1,4,0,0,5,False,
2017-10-04,0,1,0,0,1,False,
2017-10-05,1,2,0,0,3,False,
2017-10-06,1,4,0,0,5,False,
2017-10-07,0,1,0,0,1,False,
2017-10-08,2,5,0,2,9,True,0
2017-10-09,1,2,0,0,3,False,
2017-10-10,1,6,0,0,7,False,
2017-10-12,0,3,0,0,3,False,
2017-10-14,0,7,0,0,7,False,
2017-10-15,1,3,1,0,5,False,
2017-10-16,1,3,0,0,4,False,
2017-10-17,0,6,0,0,6,False,
2017-10-18,0,1,0,0,1,False,
2017-10-19,0,1,0,1,2,False,
2017-10-20,2,3,0,0,5,False,
2017-10-21,2,3,0,0,5,False,
2017-10-22,0,1,0,2,3,False,
2017-10-23,1,0,0,0,1,False,
2017-10-24,1,1,0,0,2,False,
2017-10-25,0,1,0,0,1,False,
2017-10-26,0,2,1,1,4,False,
2017-10-27,1,2,0,0,3,False,
2017-10-28,0,3,0,0,3,False,
2017-10-29,5,0,0,0,5,False,
2017-10-30,5,0,0,0,5,True,0
2017-10-31,1,0,0,0,1,False,
2017-11-02,1,2,1,0,4,False,
2017-11-03,0,1,0,0,1,False,
2017-11-04,1,3,1,0,5,False,
2017-11-05,5,3,0,0,8,False,
2017-11-06,0,1,0,0,1,False,
2017-11-07,1,2,0,0,3,False,
2017-11-08,0,1,0,0,1,False,
2017-11-09,1,0,0,0,1,False,
2017-11-10,0,1,0,0,1,False,
2017-11-11,2,4,2,0,8,False,
2017-11-12,3,0,0,0,3,True,1
2017-11-13,0,1,0,0,1,False,
2017-11-14,1,0,0,0,1,False,
2017-11-15,0,2,0,0,2,False,
2017-11-17,0,0,2,0,2,False,
2017-11-18,1,4,0,1,6,False,
2017-11-20,0,0,0,1,1,False,
2017-11-21,0,5,0,0,5,False,
2017-11-22,1,1,0,0,2,False,
2017-11-23,1,0,0,0,1,True,0
2017-11-25,0,6,0,0,6,False,
2017-11-26,2,1,0,1,4,False,
2017-11-27,0,1,1,0,2,False,
2017-11-28,1,3,0,0,4,False,
2017-11-29,1,1,0,0,2,False,
2017-12-01,0,3,0,0,3,False,
2017-12-02,2,3,0,1,6,False,
2017-12-03,1,1,0,0,2,False,
2017-12-04,0,2,0,1,3,False,
2017-12-05,0,1,1,0,2,False,
2017-12-06,0,2,0,0,2,False,
2017-12-08,2,2,1,0,5,False,
2017-12-09,1,1,0,0,2,False,
2017-12-11,0,1,0,0,1,False,
2017-12-12,1,0,0,0,1,False,
2017-12-13,1,0,0,0,1,False,
2017-12-15,0,1,0,0,1,False,
2017-12-16,2,5,0,0,7,True,1
2017-12-17,0,3,0,0,3,False,
2017-12-18,1,1,0,0,2,False,
2017-12-19,2,0,0,0,2,False,
2017-12-20,1,1,1,0,3,False,
2017-12-21,0,1,0,0,1,False,
2017-12-22,0,1,0,1,2,False,
2017-12-23,2,4,0,0,6,False,
2017-12-25,0,2,0,0,2,False,
2017-12-26,2,1,0,0,3,False,
2017-12-27,1,1,0,0,2,False,
2017-12-28,1,5,0,0,6,False,
2017-12-29,2,3,0,0,5,False,
2017-12-30,0,4,0,0,4,False,
2017-12-31,0,5,0,0,5,True,1
